year,month,Steps,Walking,Hiking,Running,Cycling,MTB,Skating,Elliptical,Swimming,Rowing
2013,1,,,,,,,,,,
2013,2,,,,,,,,,,
2013,3,,,,46.8,,,,,,
2013,4,,,,34.5,,,,,,
2013,5,,,,,,,,,,
2013,6,,,,,,,,,,
2013,7,,9.3,,87.5,103.6,,,,,
2013,8,,21.4,,63.7,252.5,,4.3,,,
2013,9,,,,83.3,14,,,,,
2013,10,,24.5,,119.9,118.1,35.8,,,,
2013,11,,11.7,,155.7,59.8,13.2,38.1,,,
2013,12,,59.2,,112,,25.5,48.4,,,
2014,1,,128.9,,191.2,,,,,,
2014,2,,48,,98.6,,,32.4,,,
2014,3,,52.5,59,152.9,153.1,,100.7,11.5,5.2,1.4
2014,4,,34.1,,122.7,378.4,,108.2,,,
2014,5,,107.7,,173.1,309.4,,95.6,,1,
2014,6,,98.9,,181.8,534.2,,28.8,,5.5,
2014,7,,142.2,,213.3,146.3,36.7,15.7,,,
2014,8,,92.1,,168.9,89.3,,78,,,
2014,9,,148.2,7.6,162.3,159.3,,51.1,,,
2014,10,,83.4,,181.7,183.1,,55.5,,,
2014,11,,80.7,,127.9,168.1,,9.9,,,
2014,12,,86.9,,195.2,90,,17.2,,3.3,
2015,1,,68.9,15.9,98.3,445.7,,,,2.4,6.9
2015,2,,64.2,26.5,174.3,198.8,,,,,
2015,3,,92.4,,222.6,322.8,,11.9,,,
2015,4,,100.8,,191.5,151.9,,39.4,,1,9.5
2015,5,,86,,195.4,558.7,,17.4,,5.6,33.1
2015,6,,109.1,22.5,100.6,376.7,2.7,,,12.7,27.3
2015,7,,95.4,85.5,150.6,822.9,,26.6,,1.1,43
2015,8,,74.1,12.6,213.7,478.1,,38.5,,3.6,25.4
2015,9,,143.5,,109.1,75.7,,72.9,,,
2015,10,,122.7,,84.1,290.4,,27.6,,,
2015,11,,113.6,22.2,287.9,84.5,,12,,2,52.7
2015,12,,92.7,20.6,278.4,19.8,35.7,,12.3,3.9,
2016,1,,111.7,,220.6,221.6,,,,,78.7
2016,2,,111.6,26.7,154.1,157.4,,12.1,,2.2,71.1
2016,3,,97.9,73.7,225.3,20.6,,,,,36.3
2016,4,,84.5,17.1,140.9,97.2,,,,,52.20
2016,5,,127.1,22.5,214.7,32.6,,,,,
2016,6,,109.4,,199.6,205.4,,37.7,,5.6,1.20
2016,7,,123.2,27.8,281.8,178.6,,12.9,,5.6,22.5
2016,8,,114.9,1.21,179.3,233.1,4.9,21.7,,,24
2016,9,,109.5,5.7,293.1,266.2,,10.7,,5.5,
2016,10,,102.5,36.2,316.8,713.4,,,,,
2016,11,,88.8,,233,1292.5,,,,,
2016,12,,75,,176.8,693.9,,,,,
2017,1,,89.5,,229.8,1016.3,,,,,
2017,2,,70.2,21.7,125,892.7,,13.6,2.1,2,10
2017,3,,80.7,57.9,192.9,677.9,,,,,7.5
2017,4,,98.1,,308,229.2,,,,,
2017,5,,72.9,10.6,213.6,699.6,,,2,,7.6
2017,6,,73.1,,175.3,586.3,,40.2,,1.3,
2017,7,,52.9,11.4,132.2,825.2,,22.7,,,
2017,8,,16.9,,53,1117.8,,24.7,,,
2017,9,,25.3,,88.5,1186.1,,,,,
2017,10,236268,68.37,,174.3,594.6,,,,,
2017,11,237643,21.32,,130.1,291,,,,,
2017,12,286130,74.76,8.5,169.8,178.1,,,,,
2018,1,310674,,,165.59,469.34,,,,1.45,
2018,2,256249,,,150.93,533.96,,,,,
2018,3,309059,,,163.47,354.58,,,,2.05,
2018,4,418278,,,230.21,663.07,,,,2.45,
2018,5,398713,,10.05,239.59,361.33,,,,,
2018,6,390861,,35.43,255.82,276.55,,,,,
2018,7,313328,,7.91,187.53,681.36,,,,2.9,7
2018,8,329486,,,179.26,464.54,,,,,
2018,9,247088,,,128.19,444.4,,5.06,,,
2018,10,411457,,,211.04,433.02,,,,,
2018,11,363579,,,195.49,228.32,,,,,
2018,12,207200,,,133.74,180.82,,,,,
2019,1,365846,,12.91,221.68,267.31,,,,,
2019,2,292832,,,203.49,284.82,,,,,
2019,3,399351,,,202.89,25.64,,,,,
2019,4,382695,,,202.95,172.71,,,,,
2019,5,308103,,,153.38,314.56,,,,,
2019,6,614224,,,418.14,407.67,,,,,
2019,7,206682,,,58.98,362.67,,,,,
2019,8,454705,,,302.3,310.18,,,,,
2019,9,358147,,,186.25,282.32,,,,,
2019,10,372660,,,161.2,219.32,,,,,
2019,11,281739,,13,110.1,224.98,,,,,
2019,12,353633,,2.59,217.88,168.16,,,,,
2020,1,272086,,,159.23,164.07,,,,,
2020,2,396780,,,249.49,294.45,,,,,
2020,3,281992,,,177.31,331.16,,,,,43.20
2020,4,213625,,,163.72,330.63,,,,,101.49
2020,5,201342,,,142.66,321.99,,,,,12.76
2020,6,414009,,,334.72,698.51,,,,,28.72
2020,7,332150,,,240.83,879.16,,,,,47.68
2020,8,341209,,10.69,233.14,833.51,,,,,16.17
2020,9,199450,,,82.83,543.53,,,,,7.01
2020,10,173698,,,71.09,476.93,,,,,5.39
2020,11,247801,,13.08,158.49,212.32,,,,,12.18
2020,12,273552,,,240.73,37.18,,,,,21.21
2021,1,321668,4.73,14.59,232.69,1.8,,,,,22.39
2021,2,280407,49.94,,139.13,,,,,,27.67
2021,3,247127,20.71,,168.34,78.9,,,,,57.4
2021,4,311468,5.92,,276.88,175.01,,,,,36.69
2021,5,246947,29.47,,155.99,93.1,,,,,9.48
2021,6,356512,23.26,,226.27,111.57,,,,1.16,
2021,7,349373,33.52,17.3,228.87,182.48,,,,,4
2021,8,567975,76.54,10.96,381.36,98.84,,,,1.05,2
2021,9,394764,52.54,15.35,212.15,132.6,,,,,
2021,10,251855,41.65,,100.54,93.49,,,,,
2021,11,396704,36.95,,257.71,128.9,,,,,7.42
2021,12,463463,48.45,20.76,322.24,18.45,,,,,2.01
2022,1,446409,39.95,9.35,308.73,34.15,,,,,8.26
2022,2,468335,26.68,,341.05,41.58,,,,,
2022,3,502165,34.37,12.71,379.57,99.27,,,,,14.25
2022,4,412923,48.84,11.46,326.12,55.98,,,,,8.03
2022,5,430968,50.69,25.88,221.23,36.15,,,,1.6,15.74
2022,6,263104,32.94,,72.83,102.29,,,,0.6,
2022,7,231520,39.19,55.9,19.86,3.16,,,,,3.01
2022,8,345637,61.37,119.17,35.63,90.30,,,,1.36,3.52
2022,9,374710,37.98,27.97,136.68,22.07,,,,,4.01
2022,10,495607,119.64,15.63,233.23,15.24,,,,,
2022,11,471095,66.77,50.32,224.81,,,,,,3.93
2022,12,452042,59.41,63.7,234.5,,,,,,
2023,1,365298,39.90,44.61,200.46,,,,,,13.81
2023,2,445029,52.1,29.4,262.08,,,,,2.78,4.01
2023,3,576577,63.43,58.43,314.94,,,,,1.02,
2023,4,402803,51.36,88.43,254.64,255.95,,,,4.35,
2023,5,485021,65.74,70.73,230.39,80.75,,,,5.08,5.52
2023,6,476199,83.78,28.90,237.78,62.02,,,,5.07,
2023,7,595266,74.53,69.45,370.74,65.72,,,,1.78,
2023,8,438552,64.90,30.10,232.86,310.48,,,,1.10,
2023,9,453217,78.44,19.99,225.36,106.41,,,,3.48,
2023,10,527731,93.60,35.16,230.03,22.51,,,,,1.02
2023,11,534267,91.57,79.12,222.34,,,,,,2.24
2023,12,489148,79.94,60.37,211.08,58.01,,,,1.6,2.01
2024,1,193594,55.15,,23.66,31.75,,,,,
2024,2,377957,75.41,39.23,138.01,135.59,,,,1.1,
2024,3,404854,62.42,49.36,163.06,97.41,,,,4.22,2.51
2024,4,568286,91.31,62.04,260.99,55.17,,,,4.48,9.12
2024,5,546309,100.32,76.24,245.5,203.26,,,,4.35,
2024,6,522906,100.93,28.35,265.15,151.56,,,,4.17,
2024,7,544668,101.55,48.36,257.63,,,,,0.75,2.32
2024,8,543793,107.09,19.30,305.52,80.56,,,,,
2024,9,516873,64.32,37.91,265.59,40.26,,,,1.05,3.68
